Date,County,State,Vehicle Primary Use,Battery Electric Vehicles (BEVs),Plug-In Hybrid Electric Vehicles (PHEVs),Electric Vehicle (EV) Total,Non-Electric Vehicle Total,Total Vehicles,Percent Electric Vehicles
October 31 2019,Calvert,MD,Passenger,0,2,2,91,93,2.15
October 31 2019,Camden,NJ,Passenger,0,1,1,23,24,4.17
October 31 2019,Cascade,MT,Passenger,0,1,1,60,61,1.64
August 31 2019,Benton,WA,Passenger,280,291,571,134361,134932,0.42
August 31 2019,Cascade,MT,Passenger,0,1,1,63,64,1.56
August 31 2019,Chelan,WA,Truck,0,0,0,22366,22366,0.00
August 31 2019,Columbia,WA,Passenger,2,2,4,2455,2459,0.16
August 31 2019,Cowlitz,WA,Passenger,107,108,215,73294,73509,0.29
August 31 2019,Cowlitz,WA,Truck,0,0,0,28905,28905,0.00
August 31 2019,Dakota,MN,Passenger,0,1,1,37,38,2.63
October 31 2019,Dakota,MN,Passenger,0,1,1,35,36,2.78
October 31 2019,DeKalb,IN,Passenger,1,0,1,1,2,50.00
October 31 2019,Fulton,GA,Passenger,0,2,2,102,104,1.92
September 30 2019,Kittitas,WA,Passenger,81,44,125,29836,29961,0.42
September 30 2019,Lake,FL,Passenger,1,0,1,20,21,4.76
September 30 2019,Lincoln,WA,Passenger,2,10,12,7811,7823,0.15
September 30 2019,Montgomery,PA,Passenger,2,0,2,36,38,5.26
September 30 2019,Nassau,NY,Passenger,4,0,4,37,41,9.76
October 31 2019,Harnett,NC,Passenger,1,1,2,214,216,0.93
October 31 2019,Harrison,MS,Passenger,1,0,1,61,62,1.61
October 31 2019,Hawaii,HI,Passenger,1,0,1,58,59,1.69
October 31 2019,Honolulu,HI,Passenger,4,1,5,491,496,1.01
October 31 2019,Island,WA,Passenger,362,250,612,63634,64246,0.95
October 31 2019,Jefferson,WA,Truck,0,0,0,9674,9674,0.00
October 31 2019,Klamath,OR,Passenger,1,0,1,36,37,2.70
October 31 2019,Klickitat,WA,Passenger,43,37,80,15667,15747,0.51
November 30 2019,Garfield,WA,Truck,0,0,0,965,965,0.00
November 30 2019,Harnett,NC,Passenger,1,1,2,211,213,0.94
November 30 2019,Honolulu,HI,Passenger,4,1,5,486,491,1.02
November 30 2019,Houston,GA,Passenger,1,0,1,56,57,1.75
November 30 2019,Jefferson,WA,Truck,0,0,0,9656,9656,0.00
November 30 2019,King,WA,Passenger,21604,7456,29060,1395662,1424722,2.04
December 31 2019,Flathead,MT,Passenger,1,0,1,63,64,1.56
December 31 2019,Harris,TX,Passenger,1,0,1,238,239,0.42
December 31 2019,Hawaii,HI,Passenger,1,0,1,60,61,1.64
December 31 2019,Island,WA,Passenger,375,253,628,63602,64230,0.98
December 31 2019,Jones,GA,Passenger,1,0,1,1,2,50.00
December 31 2019,Kent,MI,Passenger,0,1,1,24,25,4.00
December 31 2019,Kitsap,WA,Truck,1,0,1,54457,54458,0.00
July 31 2019,Volusia,FL,Passenger,0,1,1,37,38,2.63
July 31 2019,Wahkiakum,WA,Truck,0,0,0,1761,1761,0.00
July 31 2019,Walla Walla,WA,Truck,0,0,0,13619,13619,0.00
July 31 2019,Washoe,NV,Passenger,2,0,2,110,112,1.79
August 31 2019,,,Passenger,5,2,7,507,514,1.36
August 31 2019,Bell,TX,Passenger,0,1,1,455,456,0.22
August 31 2019,Bexar,TX,Passenger,2,5,7,644,651,1.08
August 31 2019,Denver,CO,Passenger,1,0,1,128,129,0.78
August 31 2019,El Paso,TX,Passenger,3,0,3,483,486,0.62
August 31 2019,Fairbanks North Star,AK,Passenger,0,1,1,100,101,0.99
August 31 2019,Fairfax,VA,Passenger,3,2,5,770,775,0.65
August 31 2019,Flathead,MT,Passenger,1,0,1,64,65,1.54
August 31 2019,Hawaii,HI,Passenger,1,0,1,57,58,1.72
August 31 2019,Island,WA,Truck,0,0,0,21278,21278,0.00
October 31 2019,Oklahoma,OK,Passenger,0,1,1,128,129,0.78
