Date,County,State,Vehicle Primary Use,Battery Electric Vehicles (BEVs),Plug-In Hybrid Electric Vehicles (PHEVs),Electric Vehicle (EV) Total,Non-Electric Vehicle Total,Total Vehicles,Percent Electric Vehicles
August 31 2020,Montgomery,AL,Passenger,0,1,1,39,40,2.50
August 31 2020,New Haven,CT,Passenger,0,2,2,35,37,5.41
July 31 2020,Pacific,WA,Passenger,33,33,66,15768,15834,0.42
July 31 2020,Pend Oreille,WA,Passenger,7,5,12,9246,9258,0.13
July 31 2020,Pierce,WA,Truck,0,0,0,142938,142938,0.00
July 31 2020,Powhatan,VA,Passenger,1,0,1,0,1,100.00
July 31 2020,Putnam,TN,Passenger,0,1,1,3,4,25.00
July 31 2020,Richmond,GA,Passenger,0,1,1,85,86,1.16
July 31 2020,Shasta,CA,Passenger,1,0,1,38,39,2.56
July 31 2020,Skagit,WA,Truck,1,0,1,32596,32597,0.00
July 31 2020,Snohomish,WA,Truck,0,0,0,124342,124342,0.00
July 31 2020,Spartanburg,SC,Passenger,0,1,1,46,47,2.13
July 31 2020,Spokane,WA,Truck,1,0,1,98991,98992,0.00
July 31 2020,Suffolk,MA,Passenger,0,2,2,36,38,5.26
April 30 2020,Camden,NJ,Passenger,0,2,2,21,23,8.70
April 30 2020,Douglas,WA,Truck,0,0,0,12268,12268,0.00
April 30 2020,DuPage,IL,Passenger,3,0,3,59,62,4.84
April 30 2020,El Paso,CO,Passenger,2,0,2,733,735,0.27
April 30 2020,San Mateo,CA,Passenger,0,1,1,115,116,0.86
April 30 2020,Shasta,CA,Passenger,1,0,1,37,38,2.63
April 30 2020,Skagit,WA,Truck,1,0,1,32391,32392,0.00
April 30 2020,Spokane,WA,Truck,1,0,1,97407,97408,0.00
April 30 2020,Stevens,WA,Passenger,33,33,66,30968,31034,0.21
April 30 2020,Stevens,WA,Truck,0,0,0,18610,18610,0.00
April 30 2020,Suffolk,MA,Passenger,0,2,2,36,38,5.26
April 30 2020,Tarrant,TX,Passenger,1,0,1,176,177,0.56
April 30 2020,Whatcom,WA,Truck,3,0,3,42834,42837,0.01
May 31 2020,Ada,ID,Passenger,0,1,1,273,274,0.36
July 31 2020,Clallam,WA,Truck,1,0,1,21697,21698,0.00
July 31 2020,Contra Costa,CA,Passenger,4,2,6,312,318,1.89
July 31 2020,Deschutes,OR,Passenger,2,0,2,127,129,1.55
July 31 2020,Douglas,WA,Passenger,75,41,116,28054,28170,0.41
June 30 2020,Spartanburg,SC,Passenger,0,1,1,46,47,2.13
June 30 2020,St. Clair,IL,Passenger,1,0,1,138,139,0.72
June 30 2020,Travis,TX,Passenger,2,1,3,175,178,1.69
June 30 2020,Virginia Beach,VA,Passenger,1,0,1,669,670,0.15
June 30 2020,Whitman,WA,Passenger,44,48,92,22140,22232,0.41
June 30 2020,Yakima,WA,Truck,0,0,0,59900,59900,0.00
July 31 2020,Alameda,CA,Passenger,2,0,2,263,265,0.75
May 31 2020,Alexandria,VA,Passenger,1,0,1,140,141,0.71
May 31 2020,Bartow,GA,Passenger,0,1,1,3,4,25.00
May 31 2020,Calvert,MD,Passenger,0,2,2,87,89,2.25
May 31 2020,Contra Costa,CA,Passenger,3,1,4,325,329,1.22
August 31 2020,San Juan,WA,Passenger,320,100,420,13929,14349,2.93
August 31 2020,Santa Clara,CA,Passenger,7,2,9,274,283,3.18
August 31 2020,Sedgwick,KS,Passenger,1,1,2,87,89,2.25
August 31 2020,Shelby,TN,Passenger,0,1,1,84,85,1.18
August 31 2020,St. Clair,IL,Passenger,1,0,1,141,142,0.70
August 31 2020,Thurston,WA,Passenger,1195,752,1947,197139,199086,0.98
July 31 2020,DeKalb,IN,Passenger,1,0,1,1,2,50.00
July 31 2020,Erie,NY,Passenger,1,0,1,44,45,2.22
July 31 2020,Franklin,WA,Passenger,65,79,144,60783,60927,0.24
July 31 2020,Franklin,WA,Truck,0,0,0,20096,20096,0.00
July 31 2020,Garfield,WA,Passenger,0,1,1,1352,1353,0.07
July 31 2020,Harnett,NC,Passenger,1,0,1,200,201,0.50
July 31 2020,Honolulu,HI,Passenger,4,1,5,441,446,1.12
July 31 2020,Howard,MD,Passenger,0,1,1,71,72,1.39
July 31 2020,Jefferson,CO,Passenger,0,1,1,58,59,1.69
April 30 2020,Juneau,AK,Passenger,0,2,2,31,33,6.06
April 30 2020,Kent,MI,Passenger,0,1,1,23,24,4.17
April 30 2020,Kitsap,WA,Truck,1,0,1,53918,53919,0.00
April 30 2020,Lewis,WA,Passenger,99,106,205,58652,58857,0.35
June 30 2020,Shelby,OH,Passenger,0,1,1,1,2,50.00
June 30 2020,Skagit,WA,Truck,1,0,1,32474,32475,0.00
June 30 2020,Stevens,WA,Passenger,36,33,69,30655,30724,0.22
June 30 2020,Sumter,FL,Passenger,0,1,1,9,10,10.00
June 30 2020,Thurston,WA,Truck,0,0,0,55745,55745,0.00
June 30 2020,Whatcom,WA,Truck,3,0,3,43008,43011,0.01
June 30 2020,Williams,ND,Passenger,0,1,1,11,12,8.33
July 31 2020,Asotin,WA,Passenger,16,12,28,12379,12407,0.23
July 31 2020,Ferry,WA,Truck,0,0,0,3566,3566,0.00
July 31 2020,Frederick,MD,Passenger,1,1,2,76,78,2.56
July 31 2020,Harrison,MS,Passenger,1,0,1,54,55,1.82
August 31 2020,Yakima,WA,Truck,0,0,0,60425,60425,0.00
September 30 2020,,,Passenger,6,2,8,465,473,1.69
September 30 2020,Boone,MO,Passenger,0,1,1,10,11,9.09
July 31 2020,Utah,UT,Passenger,0,1,1,130,131,0.76
July 31 2020,Whatcom,WA,Passenger,1091,501,1592,149340,150932,1.05
July 31 2020,Whatcom,WA,Truck,3,0,3,43158,43161,0.01
August 31 2020,Adams,WA,Passenger,9,7,16,12869,12885,0.12
August 31 2020,Alexandria,VA,Passenger,2,0,2,134,136,1.47
August 31 2020,Arapahoe,CO,Passenger,1,0,1,127,128,0.78
August 31 2020,Bartow,GA,Passenger,0,1,1,3,4,25.00
August 31 2020,Boulder,CO,Passenger,0,1,1,41,42,2.38
August 31 2020,Bucks,PA,Passenger,1,0,1,20,21,4.76
April 30 2020,New Haven,CT,Passenger,0,2,2,41,43,4.65
April 30 2020,Norfolk,VA,Passenger,2,2,4,353,357,1.12
April 30 2020,Nueces,TX,Passenger,1,0,1,82,83,1.20
April 30 2020,Owyhee,ID,Passenger,1,0,1,3,4,25.00
April 30 2020,Palm Beach,FL,Passenger,0,1,1,76,77,1.30
May 31 2020,Dallas,TX,Passenger,1,0,1,201,202,0.50
May 31 2020,Ferry,WA,Passenger,5,3,8,4331,4339,0.18
May 31 2020,Fort Bend,TX,Passenger,1,0,1,47,48,2.08
May 31 2020,Grant,WA,Truck,0,0,0,26988,26988,0.00
May 31 2020,Hennepin,MN,Passenger,3,0,3,86,89,3.37
July 31 2020,Arlington,VA,Passenger,0,2,2,145,147,1.36
July 31 2020,Boone,MO,Passenger,0,1,1,10,11,9.09
July 31 2020,Boulder,CO,Passenger,0,1,1,44,45,2.22
July 31 2020,Bradley,TN,Passenger,1,0,1,3,4,25.00
July 31 2020,Bucks,PA,Passenger,1,0,1,20,21,4.76
July 31 2020,Camden,NJ,Passenger,0,1,1,22,23,4.35
July 31 2020,Cape May,NJ,Passenger,0,1,1,13,14,7.14
July 31 2020,Charles,MD,Passenger,1,1,2,76,78,2.56
July 31 2020,Charleston,SC,Passenger,2,0,2,100,102,1.96
July 31 2020,Clark,NV,Passenger,1,3,4,672,676,0.59
July 31 2020,Clay,FL,Passenger,0,1,1,84,85,1.18
July 31 2020,Douglas,WA,Truck,0,0,0,12350,12350,0.00
July 31 2020,DuPage,IL,Passenger,3,0,3,60,63,4.76
July 31 2020,Duval,FL,Passenger,0,2,2,361,363,0.55
July 31 2020,Kern,CA,Passenger,0,1,1,225,226,0.44
July 31 2020,Kitsap,WA,Passenger,1378,696,2074,179898,181972,1.14
July 31 2020,Klamath,OR,Passenger,1,0,1,30,31,3.23
July 31 2020,Lincoln,WA,Truck,0,0,0,4661,4661,0.00
July 31 2020,Loudoun,VA,Passenger,1,0,1,83,84,1.19
July 31 2020,Montgomery,AL,Passenger,0,1,1,40,41,2.44
July 31 2020,New London,CT,Passenger,1,2,3,246,249,1.20
July 31 2020,Klickitat,WA,Passenger,56,43,99,15115,15214,0.65
July 31 2020,Lake,IL,Passenger,1,0,1,164,165,0.61
July 31 2020,Manassas,VA,Passenger,0,1,1,4,5,20.00
July 31 2020,Maricopa,AZ,Passenger,5,7,12,1386,1398,0.86
July 31 2020,Maui,HI,Passenger,1,0,1,32,33,3.03
July 31 2020,Broward,FL,Passenger,2,1,3,106,109,2.75
July 31 2020,Calvert,MD,Passenger,0,2,2,88,90,2.22
July 31 2020,Chelan,WA,Passenger,240,82,322,54237,54559,0.59
July 31 2020,Clallam,WA,Passenger,237,169,406,50055,50461,0.80
July 31 2020,Denton,TX,Passenger,1,0,1,87,88,1.14
July 31 2020,Jefferson,WA,Passenger,249,142,391,24738,25129,1.56
July 31 2020,Kent,MI,Passenger,0,1,1,23,24,4.17
May 31 2020,Juneau,AK,Passenger,0,2,2,29,31,6.45
May 31 2020,Kittitas,WA,Passenger,102,48,150,29779,29929,0.50
May 31 2020,Larimer,CO,Passenger,1,0,1,51,52,1.92
May 31 2020,Maui,HI,Passenger,1,0,1,32,33,3.03
August 31 2020,Cape May,NJ,Passenger,0,1,1,13,14,7.14
August 31 2020,Clark,NV,Passenger,1,3,4,666,670,0.60
August 31 2020,Dallas,TX,Passenger,1,0,1,190,191,0.52
August 31 2020,Duval,FL,Passenger,0,2,2,355,357,0.56
August 31 2020,Ferry,WA,Passenger,7,3,10,4309,4319,0.23
September 30 2020,Camden,NJ,Passenger,0,1,1,23,24,4.17
September 30 2020,Clark,WA,Truck,0,0,0,82864,82864,0.00
September 30 2020,Denver,CO,Passenger,1,0,1,112,113,0.88
September 30 2020,Deschutes,OR,Passenger,1,0,1,122,123,0.81
September 30 2020,Douglas,WA,Passenger,79,45,124,28044,28168,0.44
September 30 2020,Douglas,WA,Truck,0,0,0,12378,12378,0.00
September 30 2020,El Dorado,CA,Passenger,1,0,1,33,34,2.94
September 30 2020,Frederick,MD,Passenger,1,1,2,73,75,2.67
July 31 2020,Prince George's,MD,Passenger,1,1,2,153,155,1.29
July 31 2020,Randolph,NC,Passenger,1,0,1,7,8,12.50
July 31 2020,San Diego,CA,Passenger,14,5,19,2783,2802,0.68
July 31 2020,Sedgwick,KS,Passenger,1,1,2,94,96,2.08
April 30 2020,Rockingham,NH,Passenger,1,0,1,28,29,3.45
April 30 2020,Rogers,OK,Passenger,1,0,1,6,7,14.29
April 30 2020,Santa Cruz,CA,Passenger,1,0,1,38,39,2.56
April 30 2020,Snohomish,WA,Passenger,4400,1752,6152,535230,541382,1.14
April 30 2020,Spokane,WA,Passenger,711,472,1183,316328,317511,0.37
April 30 2020,St. Clair,IL,Passenger,1,0,1,140,141,0.71
April 30 2020,St. Louis,MO,Passenger,1,0,1,98,99,1.01
July 31 2020,Kitsap,WA,Truck,0,0,0,54154,54154,0.00
July 31 2020,Lewis,WA,Passenger,107,115,222,58137,58359,0.38
July 31 2020,Nassau,FL,Passenger,1,0,1,34,35,2.86
July 31 2020,El Paso,CO,Passenger,2,0,2,727,729,0.27
July 31 2020,Fairfax,VA,Passenger,4,3,7,739,746,0.94
July 31 2020,Grant,WA,Truck,0,0,0,27181,27181,0.00
July 31 2020,Juneau,AK,Passenger,0,1,1,29,30,3.33
July 31 2020,King,WA,Truck,7,1,8,182966,182974,0.00
July 31 2020,Orange,CA,Passenger,7,2,9,488,497,1.81
July 31 2020,Richland,SC,Passenger,0,1,1,153,154,0.65
July 31 2020,Riverside,CA,Passenger,3,1,4,610,614,0.65
July 31 2020,Salt Lake,UT,Passenger,0,1,1,178,179,0.56
July 31 2020,San Juan,WA,Passenger,311,94,405,13958,14363,2.82
July 31 2020,San Juan,WA,Truck,0,0,0,5843,5843,0.00
July 31 2020,Solano,CA,Passenger,1,0,1,212,213,0.47
July 31 2020,Stafford,VA,Passenger,1,1,2,90,92,2.17
September 30 2020,Grant,WA,Passenger,67,80,147,65586,65733,0.22
September 30 2020,Gwinnett,GA,Passenger,1,0,1,70,71,1.41
September 30 2020,Juneau,AK,Passenger,0,1,1,28,29,3.45
September 30 2020,Lake,FL,Passenger,1,0,1,22,23,4.35
August 31 2020,Fort Bend,TX,Passenger,1,0,1,46,47,2.13
August 31 2020,Grant,WA,Truck,0,0,0,27241,27241,0.00
August 31 2020,Harnett,NC,Passenger,1,0,1,200,201,0.50
August 31 2020,Honolulu,HI,Passenger,4,1,5,433,438,1.14
August 31 2020,Howard,IN,Passenger,0,1,1,3,4,25.00
August 31 2020,Howard,MD,Passenger,0,1,1,70,71,1.41
August 31 2020,Jefferson,WA,Truck,0,0,0,9541,9541,0.00
April 30 2020,Yakima,WA,Truck,0,0,0,59520,59520,0.00
May 31 2020,Alameda,CA,Passenger,2,1,3,270,273,1.10
May 31 2020,Brevard,FL,Passenger,0,1,1,83,84,1.19
May 31 2020,Carroll,NH,Passenger,0,1,1,4,5,20.00
May 31 2020,Charles,MD,Passenger,1,1,2,74,76,2.63
July 31 2020,Thurston,WA,Passenger,1176,743,1919,197187,199106,0.96
July 31 2020,Washtenaw,MI,Passenger,1,0,1,32,33,3.03
August 31 2020,Asotin,WA,Truck,0,0,0,6664,6664,0.00
May 31 2020,Multnomah,OR,Passenger,4,7,11,714,725,1.52
May 31 2020,Nassau,NY,Passenger,4,0,4,33,37,10.81
May 31 2020,New Haven,CT,Passenger,0,2,2,39,41,4.88
May 31 2020,Okanogan,WA,Passenger,34,33,67,25877,25944,0.26
May 31 2020,Oldham,KY,Passenger,0,1,1,4,5,20.00
May 31 2020,Sacramento,CA,Passenger,1,0,1,267,268,0.37
May 31 2020,San Francisco,CA,Passenger,1,1,2,93,95,2.11
May 31 2020,Santa Clara,CA,Passenger,6,2,8,304,312,2.56
May 31 2020,Shelby,TN,Passenger,0,1,1,86,87,1.15
July 31 2020,Lee,FL,Passenger,1,0,1,49,50,2.00
July 31 2020,New Haven,CT,Passenger,0,2,2,36,38,5.26
July 31 2020,Oldham,KY,Passenger,0,1,1,4,5,20.00
July 31 2020,Owyhee,ID,Passenger,1,0,1,3,4,25.00
May 31 2020,Clay,FL,Passenger,0,1,1,82,83,1.20
May 31 2020,Denton,TX,Passenger,1,0,1,88,89,1.12
May 31 2020,Douglas,NE,Passenger,0,1,1,56,57,1.75
September 30 2020,Maui,HI,Passenger,1,0,1,29,30,3.33
September 30 2020,New Haven,CT,Passenger,0,2,2,34,36,5.56
September 30 2020,Palm Beach,FL,Passenger,0,1,1,74,75,1.33
July 31 2020,Sumter,FL,Passenger,0,1,1,9,10,10.00
July 31 2020,Thurston,WA,Truck,0,0,0,55899,55899,0.00
August 31 2020,Chesapeake,VA,Passenger,0,2,2,416,418,0.48
August 31 2020,Collin,TX,Passenger,1,1,2,121,123,1.63
August 31 2020,Columbia,WA,Truck,0,0,0,1526,1526,0.00
August 31 2020,DeKalb,GA,Passenger,1,0,1,76,77,1.30
August 31 2020,Franklin,WA,Truck,0,0,0,20188,20188,0.00
July 31 2020,Norfolk,VA,Passenger,2,2,4,352,356,1.12
July 31 2020,Nueces,TX,Passenger,1,0,1,84,85,1.18
July 31 2020,Palm Beach,FL,Passenger,0,1,1,76,77,1.30
July 31 2020,Pinal,AZ,Passenger,1,0,1,175,176,0.57
July 31 2020,Prince William,VA,Passenger,2,3,5,221,226,2.21
July 31 2020,Rockingham,NH,Passenger,1,0,1,23,24,4.17
July 31 2020,Rogers,OK,Passenger,1,0,1,5,6,16.67
July 31 2020,Santa Cruz,CA,Passenger,1,0,1,32,33,3.03
July 31 2020,Snohomish,WA,Passenger,4583,1776,6359,535644,542003,1.17
August 31 2020,Larimer,CO,Passenger,1,0,1,51,52,1.92
August 31 2020,Multnomah,OR,Passenger,4,6,10,695,705,1.42
August 31 2020,Nassau,NY,Passenger,4,0,4,29,33,12.12
August 31 2020,Okanogan,WA,Passenger,40,34,74,25976,26050,0.28
August 31 2020,Oldham,KY,Passenger,0,1,1,4,5,20.00
July 31 2020,RÃ­o Grande,PR,Passenger,1,0,1,1,2,50.00
July 31 2020,Shelby,OH,Passenger,0,1,1,1,2,50.00
July 31 2020,Skamania,WA,Passenger,31,20,51,8428,8479,0.60
July 31 2020,Spokane,WA,Passenger,753,490,1243,316471,317714,0.39
July 31 2020,St. Clair,IL,Passenger,1,0,1,137,138,0.72
July 31 2020,St. Louis,MO,Passenger,1,0,1,98,99,1.01
September 30 2020,Powhatan,VA,Passenger,1,0,1,0,1,100.00
September 30 2020,Richmond,GA,Passenger,0,1,1,85,86,1.16
September 30 2020,Rockingham,NH,Passenger,1,0,1,24,25,4.00
September 30 2020,Rogers,OK,Passenger,1,0,1,5,6,16.67
September 30 2020,San Diego,CA,Passenger,15,5,20,2759,2779,0.72
September 30 2020,Stevens,WA,Truck,0,0,0,18702,18702,0.00
September 30 2020,Suffolk,MA,Passenger,0,2,2,34,36,5.56
May 31 2020,Jefferson,WA,Passenger,233,141,374,24825,25199,1.48
May 31 2020,King,WA,Truck,5,1,6,181423,181429,0.00
May 31 2020,Lee,FL,Passenger,1,0,1,49,50,2.00
May 31 2020,Lincoln,WA,Passenger,4,12,16,7644,7660,0.21
May 31 2020,Loudoun,VA,Passenger,1,0,1,88,89,1.12
May 31 2020,Montgomery,PA,Passenger,1,0,1,30,31,3.23
July 31 2020,Tulsa,OK,Passenger,1,1,2,40,42,4.76
July 31 2020,Wahkiakum,WA,Passenger,6,6,12,3001,3013,0.40
July 31 2020,Williams,ND,Passenger,0,1,1,11,12,8.33
August 31 2020,Asotin,WA,Passenger,17,14,31,12357,12388,0.25
May 31 2020,Skamania,WA,Truck,0,0,0,4028,4028,0.00
May 31 2020,St. Clair,IL,Passenger,1,0,1,138,139,0.72
May 31 2020,Travis,TX,Passenger,2,1,3,178,181,1.66
May 31 2020,Walla Walla,WA,Passenger,70,62,132,35822,35954,0.37
May 31 2020,Walla Walla,WA,Truck,0,0,0,13669,13669,0.00
May 31 2020,Whitman,WA,Passenger,45,48,93,22175,22268,0.42
May 31 2020,Yakima,WA,Truck,0,0,0,59576,59576,0.00
June 30 2020,,,Passenger,6,2,8,475,483,1.66
August 31 2020,Grays Harbor,WA,Truck,0,0,0,21032,21032,0.00
August 31 2020,Jones,GA,Passenger,1,0,1,1,2,50.00
August 31 2020,Kern,CA,Passenger,0,1,1,223,224,0.45
August 31 2020,Kitsap,WA,Passenger,1401,699,2100,179659,181759,1.16
August 31 2020,Kittitas,WA,Truck,0,0,0,14555,14555,0.00
August 31 2020,Klickitat,WA,Truck,0,0,0,8106,8106,0.00
October 31 2020,Adams,WA,Passenger,8,7,15,12938,12953,0.12
October 31 2020,Arapahoe,CO,Passenger,1,0,1,122,123,0.81
October 31 2020,Asotin,WA,Truck,0,0,0,6682,6682,0.00
October 31 2020,Bartow,GA,Passenger,0,1,1,3,4,25.00
October 31 2020,Chesapeake,VA,Passenger,0,3,3,407,410,0.73
August 31 2020,Sacramento,CA,Passenger,1,0,1,257,258,0.39
August 31 2020,San Francisco,CA,Passenger,2,1,3,86,89,3.37
August 31 2020,Skamania,WA,Truck,0,0,0,4022,4022,0.00
August 31 2020,St. Mary's,MD,Passenger,1,0,1,219,220,0.45
August 31 2020,Sumter,FL,Passenger,0,1,1,10,11,9.09
August 31 2020,Thurston,WA,Truck,0,0,0,55982,55982,0.00
August 31 2020,Travis,TX,Passenger,2,1,3,169,172,1.74
August 31 2020,Walla Walla,WA,Passenger,81,65,146,35892,36038,0.41
July 31 2020,Walla Walla,WA,Passenger,77,65,142,35906,36048,0.39
July 31 2020,Yakima,WA,Truck,0,0,0,60206,60206,0.00
August 31 2020,Adams,WA,Truck,0,0,0,5303,5303,0.00
August 31 2020,Alameda,CA,Passenger,2,0,2,266,268,0.75
August 31 2020,Anne Arundel,MD,Passenger,0,1,1,395,396,0.25
August 31 2020,Carroll,NH,Passenger,0,1,1,5,6,16.67
August 31 2020,Charles,MD,Passenger,1,1,2,76,78,2.56
August 31 2020,Broward,FL,Passenger,2,1,3,107,110,2.73
August 31 2020,Cascade,MT,Passenger,0,1,1,56,57,1.75
August 31 2020,Chelan,WA,Passenger,248,80,328,54181,54509,0.60
August 31 2020,Chelan,WA,Truck,0,0,0,22679,22679,0.00
August 31 2020,Clallam,WA,Passenger,239,171,410,49946,50356,0.81
August 31 2020,Columbia,WA,Passenger,3,3,6,2423,2429,0.25
August 31 2020,Cowlitz,WA,Passenger,152,120,272,72135,72407,0.38
August 31 2020,Dakota,MN,Passenger,0,1,1,33,34,2.94
August 31 2020,Fairbanks North Star,AK,Passenger,0,1,1,98,99,1.01
August 31 2020,Fairfax,VA,Passenger,4,3,7,746,753,0.93
August 31 2020,Flathead,MT,Passenger,1,0,1,55,56,1.79
August 31 2020,Brevard,FL,Passenger,0,1,1,81,82,1.22
August 31 2020,Denver,CO,Passenger,1,0,1,113,114,0.88
August 31 2020,Douglas,WA,Truck,0,0,0,12337,12337,0.00
August 31 2020,El Paso,CO,Passenger,2,0,2,719,721,0.28
August 31 2020,El Paso,TX,Passenger,3,0,3,414,417,0.72
June 30 2020,Brevard,FL,Passenger,0,1,1,82,83,1.20
June 30 2020,Camden,NJ,Passenger,0,1,1,21,22,4.55
June 30 2020,Clark,NV,Passenger,1,3,4,678,682,0.59
June 30 2020,Collin,TX,Passenger,1,1,2,120,122,1.64
June 30 2020,Columbia,WA,Truck,0,0,0,1532,1532,0.00
June 30 2020,Denver,CO,Passenger,1,0,1,117,118,0.85
June 30 2020,Deschutes,OR,Passenger,3,0,3,130,133,2.26
June 30 2020,Douglas,WA,Truck,0,0,0,12306,12306,0.00
August 31 2020,Clark,WA,Truck,0,0,0,82711,82711,0.00
August 31 2020,Clay,FL,Passenger,0,1,1,83,84,1.19
August 31 2020,Denton,TX,Passenger,1,0,1,88,89,1.12
August 31 2020,Douglas,NE,Passenger,0,1,1,51,52,1.92
August 31 2020,DuPage,IL,Passenger,3,0,3,59,62,4.84
August 31 2020,Erie,NY,Passenger,1,0,1,44,45,2.22
August 31 2020,Greene,MO,Passenger,0,1,1,32,33,3.03
May 31 2020,Pacific,WA,Passenger,31,33,64,15706,15770,0.41
May 31 2020,Pend Oreille,WA,Passenger,7,6,13,9218,9231,0.14
May 31 2020,Pinal,AZ,Passenger,1,0,1,183,184,0.54
May 31 2020,Prince William,VA,Passenger,2,3,5,218,223,2.24
May 31 2020,RÃ­o Grande,PR,Passenger,1,0,1,1,2,50.00
May 31 2020,Skamania,WA,Passenger,30,17,47,8525,8572,0.55
May 31 2020,Solano,CA,Passenger,1,0,1,211,212,0.47
August 31 2020,Walla Walla,WA,Truck,0,0,0,13749,13749,0.00
August 31 2020,Washington,OR,Passenger,1,0,1,425,426,0.23
August 31 2020,Whitman,WA,Passenger,46,48,94,22023,22117,0.43
August 31 2020,Williams,ND,Passenger,0,1,1,11,12,8.33
September 30 2020,Boulder,CO,Passenger,0,1,1,43,44,2.27
September 30 2020,Brevard,FL,Passenger,0,1,1,81,82,1.22
October 31 2020,Clackamas,OR,Passenger,2,0,2,186,188,1.06
October 31 2020,DeKalb,GA,Passenger,1,0,1,73,74,1.35
October 31 2020,Ferry,WA,Passenger,8,3,11,4351,4362,0.25
October 31 2020,Franklin,WA,Passenger,73,78,151,61106,61257,0.25
October 31 2020,Franklin,WA,Truck,0,0,0,20375,20375,0.00
October 31 2020,Hennepin,MN,Passenger,2,0,2,81,83,2.41
August 31 2020,Middlesex,MA,Passenger,1,1,2,94,96,2.08
August 31 2020,Monroe,IL,Passenger,1,0,1,4,5,20.00
August 31 2020,Montgomery,TX,Passenger,1,0,1,49,50,2.00
August 31 2020,Moore,NC,Passenger,0,2,2,156,158,1.27
August 31 2020,New London,CT,Passenger,1,2,3,245,248,1.21
August 31 2020,Okaloosa,FL,Passenger,0,1,1,139,140,0.71
August 31 2020,Orange,CA,Passenger,6,2,8,481,489,1.64
August 31 2020,Pacific,WA,Truck,0,0,0,7724,7724,0.00
August 31 2020,Pend Oreille,WA,Truck,0,0,0,5749,5749,0.00
August 31 2020,Pima,AZ,Passenger,3,1,4,332,336,1.19
August 31 2020,Placer,CA,Passenger,2,0,2,84,86,2.33
August 31 2020,Ramsey,MN,Passenger,1,0,1,38,39,2.56
August 31 2020,Jefferson,CO,Passenger,0,1,1,57,58,1.72
August 31 2020,Kitsap,WA,Truck,0,0,0,54184,54184,0.00
August 31 2020,Lee,FL,Passenger,1,0,1,47,48,2.08
August 31 2020,Loudoun,VA,Passenger,1,0,1,82,83,1.20
August 31 2020,Garfield,WA,Truck,0,0,0,994,994,0.00
August 31 2020,Guadalupe,TX,Passenger,1,0,1,59,60,1.67
August 31 2020,Gwinnett,GA,Passenger,1,0,1,72,73,1.37
August 31 2020,Jefferson,WA,Passenger,249,144,393,24653,25046,1.57
August 31 2020,King,WA,Truck,5,1,6,183326,183332,0.00
August 31 2020,Lake,FL,Passenger,1,0,1,21,22,4.55
June 30 2020,Duval,FL,Passenger,0,2,2,359,361,0.55
June 30 2020,Gwinnett,GA,Passenger,1,0,1,73,74,1.35
June 30 2020,Jefferson,WA,Passenger,236,139,375,24798,25173,1.49
August 31 2020,Harrison,MS,Passenger,1,0,1,56,57,1.75
August 31 2020,Hawaii,HI,Passenger,1,0,1,54,55,1.82
August 31 2020,Island,WA,Passenger,434,273,707,62812,63519,1.11
August 31 2020,Island,WA,Truck,1,0,1,21226,21227,0.00
August 31 2020,Klickitat,WA,Passenger,57,42,99,15044,15143,0.65
August 31 2020,Kootenai,ID,Passenger,1,0,1,213,214,0.47
May 31 2020,Tulsa,OK,Passenger,1,1,2,42,44,4.55
May 31 2020,Utah,UT,Passenger,0,1,1,130,131,0.76
May 31 2020,Whatcom,WA,Passenger,1060,497,1557,149308,150865,1.03
June 30 2020,Allegheny,PA,Passenger,1,0,1,69,70,1.43
June 30 2020,Bell,TX,Passenger,0,1,1,423,424,0.24
September 30 2020,Carroll,NH,Passenger,0,1,1,5,6,16.67
September 30 2020,Clark,NV,Passenger,1,3,4,665,669,0.60
September 30 2020,Collin,TX,Passenger,1,1,2,119,121,1.65
September 30 2020,Columbia,WA,Truck,0,0,0,1532,1532,0.00
September 30 2020,Dallas,TX,Passenger,1,0,1,183,184,0.54
September 30 2020,Denton,TX,Passenger,1,0,1,86,87,1.15
September 30 2020,Duval,FL,Passenger,0,2,2,356,358,0.56
August 31 2020,Riverside,CA,Passenger,3,0,3,609,612,0.49
August 31 2020,Saginaw,MI,Passenger,1,0,1,9,10,10.00
August 31 2020,San Juan,WA,Truck,0,0,0,5837,5837,0.00
August 31 2020,Stafford,VA,Passenger,1,1,2,90,92,2.17
August 31 2020,Suffolk,VA,Passenger,1,0,1,122,123,0.81
August 31 2020,Valencia,NM,Passenger,1,0,1,6,7,14.29
August 31 2020,Ventura,CA,Passenger,1,2,3,286,289,1.04
August 31 2020,Lincoln,WA,Passenger,5,11,16,7629,7645,0.21
August 31 2020,Montgomery,PA,Passenger,1,0,1,27,28,3.57
August 31 2020,Owyhee,ID,Passenger,1,0,1,3,4,25.00
August 31 2020,Pacific,WA,Passenger,32,33,65,15711,15776,0.41
August 31 2020,Palm Beach,FL,Passenger,0,1,1,75,76,1.32
August 31 2020,Penobscot,ME,Passenger,0,1,1,14,15,6.67
August 31 2020,Pinal,AZ,Passenger,1,0,1,176,177,0.56
June 30 2020,Lake,FL,Passenger,1,0,1,21,22,4.55
June 30 2020,Okaloosa,FL,Passenger,0,1,1,136,137,0.73
June 30 2020,Pacific,WA,Passenger,33,33,66,15757,15823,0.42
June 30 2020,Pacific,WA,Truck,0,0,0,7699,7699,0.00
